Sample_ID  Population_label
HGDP00448  BiakaPygmy
HGDP00449  MbutiPygmy
HGDP00450  MbutiPygmy
HGDP00451  BiakaPygmy
HGDP00454  BiakaPygmy
HGDP00455  BiakaPygmy
HGDP00456  MbutiPygmy
HGDP00457  BiakaPygmy
HGDP00458  BiakaPygmy
HGDP00459  BiakaPygmy
HGDP00460  BiakaPygmy
HGDP00461  BiakaPygmy
HGDP00462  MbutiPygmy
HGDP00463  MbutiPygmy
HGDP00464  BiakaPygmy
HGDP00465  BiakaPygmy
HGDP00466  BiakaPygmy
HGDP00467  MbutiPygmy
HGDP00468  MbutiPygmy
HGDP00471  MbutiPygmy
HGDP00474  MbutiPygmy
HGDP00476  MbutiPygmy
HGDP00478  MbutiPygmy
HGDP00511  French
HGDP00512  French
HGDP00513  French
HGDP00514  French
HGDP00515  French
HGDP00516  French
HGDP00517  French
HGDP00518  French
HGDP00519  French
HGDP00520  French
HGDP00521  French
HGDP00522  French
HGDP00523  French
HGDP00524  French
HGDP00525  French
HGDP00904  Mandenka
HGDP00905  Mandenka
HGDP00906  Mandenka
HGDP00907  Mandenka
HGDP00908  Mandenka
HGDP00909  Mandenka
HGDP00910  Mandenka
HGDP00911  Mandenka
HGDP00912  Mandenka
HGDP00913  Mandenka
HGDP00914  Mandenka
HGDP00915  Mandenka
HGDP00916  Mandenka
HGDP00917  Mandenka
HGDP00920  Yoruba
HGDP00921  Yoruba
HGDP00922  Yoruba
HGDP00923  Yoruba
HGDP00924  Yoruba
HGDP00925  Yoruba
HGDP00926  Yoruba
HGDP00927  Yoruba
HGDP00928  Yoruba
HGDP00929  Yoruba
HGDP00930  Yoruba
HGDP00931  Yoruba
HGDP00932  Yoruba
HGDP00933  Yoruba
HGDP00982  MbutiPygmy
HGDP00983  MbutiPygmy
HGDP00984  MbutiPygmy
HGDP00988  San
HGDP00991  San
HGDP00992  San
HGDP00993  BantuSouthAfrica
HGDP00994  BantuSouthAfrica
HGDP01028  BantuSouthAfrica
HGDP01029  San
HGDP01030  BantuSouthAfrica
HGDP01031  BantuSouthAfrica
HGDP01032  San
HGDP01033  BantuSouthAfrica
HGDP01034  BantuSouthAfrica
HGDP01035  BantuSouthAfrica
HGDP01036  San
HGDP01405  BantuKenya
HGDP01406  BantuKenya
HGDP01408  BantuKenya
HGDP01411  BantuKenya
HGDP01412  BantuKenya
HGDP01413  BantuKenya
HGDP01414  BantuKenya
HGDP01415  BantuKenya
HGDP01416  BantuKenya
HGDP01417  BantuKenya
HGDP01418  BantuKenya
HGDP01419  BantuKenya
